,Model Name,Condition,Price,Shoe Size,Brand,Type,Style,Product Line,Color,Department,Seller Name,Feedback Score,Percentage Positive Feedback
0,1.Nike+A4:A92 Dunk Low Brazil (2020),New with box,US $379.90,,Nike,Athletic,Athletic Sneakers,Nike Dunk Low,Multi-Color,Men,hotnessfeet215,33080.0,99.9
1,2.Nike Air Max 90 Green Camo,New with box,US $219.90,,Nike,,Athletic Sneakers,,Multi-Color,,hotnessfeet215,33080.0,99.9
2,3.Nike Air Max 90 Reverse Duck Camo (2020),New with box,US $359.99,,Nike,Athletic,Running Shoes,,Multicolor,,thecoolshoeshine,51004.0,99.8
3,4.Nike LD Waffle Sacai White Nylon,New with box,US $450.00,,Nike,Athletic,,,Black,Men,godspeed30,628.0,100.0
4,5.Nike Air Max 2 Light Atmos,New without box,US $144.99,,Nike,Athletic,,Nike Air,Multicolor,Men,ragall23,51.0,100.0
5,6.Nike Air Force 1 Low Supreme Black,New with box,US $129.90,,Nike,Athletic,Athletic Sneakers,Air Force One,Black,Men,sneakzilla,8265.0,99.8
6,7.Nike Dunk Low SP Syracuse (2020),New with box,US $499.99,,Nike,Athletic,Skateboarding Shoes,,White,Men,rubberandcotton,1421.0,
7,8.Nike React Element 87 Anthracite Black,New with box,US $109.99,,Nike,Athletic,Athletic Sneakers,Nike React,Multicolor,Men,jayhoodisback,1361.0,100.0
8,9.Nike Blazer Mid 77 Vintage White Black,New with box,US $196.85,,Nike,,Athletic Sneakers,Nike Blazer,Multi-Color,,obas818,169.0,100.0
9,10.Nike SB Dunk Low Raygun Tie-Dye Black,New with box,US $388.00,,Raygun x Nike,Athletic,Sneaker,SB,Black/Orange Flash,Men,soles888,2867.0,99.1
10,11.Nike Air Max 90 OG Volt (2020),New with box,US $100.90,,Nike,Athletic,,"Air Max, Nike Air, Nike Air Max",Yellow,Boys,sneakzilla,8265.0,99.8
11,12.Nike Zoom Terra Kiger 5 Off-White Black (W),New with box,US $360.00,,Nike,,Athletic Sneakers,,green,,zadehkicks,17708.0,97.7
12,13.Nike React Element 55 Kendrick Lamar,New with box,US $239.95,,Nike,Athletic,,Nike React,Multicolor,Men,thikko-usa,1980.0,100.0
13,14.Nike Daybreak Undercover Blue Jay,New with box,US $230.00,,Nike,Athletic,Running Shoes,,Blue,Men,ahypejello,27.0,100.0
14,15.Nike LD Waffle sacai Summit White,New with box,US $849.00,,Nike,Athletic,,,Summit White,Men,thejewelrymaestro,24.0,83.3
15,16.Nike Dunk Low Viotech (2019),New with box,US $379.99,,Nike,,Skate Shoes,"Nike Dunk, Nike Dunk Low",Multicolor,,legitsupply,9121.0,98.3
16,17.Nike Air Max 90 Mars Landing,New with box,US $229.99,,Nike,Athletic,Running Shoes,,Orange,,thecoolshoeshine,51004.0,99.8
17,18.Nike Air Max 97 Neon Seoul,New with box,US $209.99,,Nike,Athletic,Running Shoes,"Nike Air, Nike Air Max, Nike Air Max 97",Black,Men,bc_kicks,517.0,
18,19.Nike Air Presto Off-White White (2018),New with box,US $880.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
19,20.Nike Blazer Mid sacai White Grey,New with box,US $388.00,,Nike,Athletic,Sneaker,Nike Blazer,White/Wolf Grey,Men,soles888,2867.0,99.1
20,21.Nike Blazer Mid sacai Black Grey,New with box,US $420.00,,Nike,Athletic,Athletic Sneakers,,Black,Men,zadehkicks,17708.0,97.7
21,22.Nike SB Dunk High Paul Rodriguez Mexico,New with box,US $200.00,,Nike Sb,Athletic,,SB,White,Men,dacamp76,208.0,
22,23.Nike Zoom Terra Kiger 5 Off-White White (W),New with box,US $380.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
23,24.Nike LD Waffle sacai Black,New with box,US $650.00,,Nike,Athletic,Athletic Sneakers,,Black,Men,zadehkicks,17708.0,97.7
24,25.Nike Blazer Mid sacai Snow Beach,New with box,US $549.00,,Nike,,,,Varisty Maze/Red,,sole-unlimited,18832.0,100.0
25,26.Nike SB Dunk High Dog Walker,Pre-owned,US $900.00,,nike sb,Athletic,,SB,black,Men,kicksncuts305,262.0,
26,27.Nike LD Waffle Sacai Blue Multi,,,,,,,,,,,,
27,28.Nike Kyrie 5 Spongebob Patrick,Pre-owned,US $350.00,,Nike,Athletic,,LeBron James,Multicolor,Men,raidewale-0,35.0,100.0
28,29.Nike Air Force 1 High Emotionally Unavailable,New without box,US $100.00,,Nike,Athletic,Fashion Sneakers,Nike Air Force 1 High,Red,Men,timbervibes,1009.0,99.9
29,30.Nike Air VaporMax 2019 Cactus Plant Flea Market (W),Pre-owned,US $630.20,,Nike,,Cactus Plant Flea Market,"Nike Air, Nike VaporMax",Green,,lxhabits,8071.0,
30,31.Nike PG 2.5 Playstation Wolf Grey,New with box,US $199.99,,Nike,Athletic,Basketball Shoes,Nike Paul George,Wolf Grey,Men,limitediton,338.0,100.0
31,32.Nike Zoom Terra Kiger 5 Off-White White (W),New with box,US $380.00,,Nike,,Athletic Sneakers,,white,,zadehkicks,17708.0,97.7
32,33.Nike LeBron 7 Fairfax Away (2020),New with box,US $190.00,,Nike,,,,Black,,hypestew,324.0,100.0
33,34.Nike PG 3 NASA,New with box,US $239.99,,Nike,,Basketball Shoes,,Orange,,thecoolshoeshine,51004.0,99.8
34,35.Nike Air Max 1 Tinker Sketch to Shelf,New with box,US $210.00,,Nike Air max 1,,Basketball Shoes,,,,baorkml12,40.0,100.0
35,36.Nike Air Force 1 Low CLOT Blue Silk,New with box,US $749.95,,Nike,Athletic,,"Air Force One, Nike Air Force 1",Blue,Men,rjbishops,385.0,100.0
36,37.Nike SB Dunk Low Parra,New with box,US $380.00,,NIKE,Athletic,see description,,White,Men,lucymucy123,365.0,98.6
37,38.Nike LD Waffle sacai Summit White,New with box,US $849.00,,Nike,Athletic,,,Summit White,Men,thejewelrymaestro,24.0,83.3
38,39.Nike Blazer Mid sacai Black Grey,New with box,US $479.00,,Nike,Casual,Sneaker,"Nike Blazer, Nike x Sacai",Black,Men,eluxive,1845.0,100.0
39,40.Nike SB Dunk Low Infrared Orange Label,New with box,US $299.00,,Nike,Athletic,,SB,Orange,Men,rparh001,73.0,100.0
40,41.Nike Kyrie 5 Spongebob Squidward,New with box,US $289.90,,Nike,,Athletic Sneakers,,Multi-Color,,hotnessfeet215,33080.0,99.9
41,42.Nike SB Dunk Low Supreme Jewel Swoosh Silver,New with box,US $485.00,,Nike Sb,Athletic,Skate Shoes,"Nike SB, SB",Blk/Silver,Men,footwearcntrl,54.0,96.2
42,43.Nike Blazer Mid sacai White Grey,New with box,US $388.00,,Nike,Athletic,Sneaker,Nike Blazer,White/Wolf Grey,Men,soles888,2867.0,99.1
43,44.Nike Air Force 1 Low Travis Scott Sail,Pre-owned,US $800.00,,Nike,Athletic,Sneaker,"Air Force One, Nike Air",White,Men,soledout.jerseycity,1860.0,98.7
44,45.Nike Kobe 5 Protro Chaos,New with box,US $385.99,,Nike,Athletic,,Nike Kobe Bryant,White,Men,terrell_w_smilez,594.0,100.0
45,46.Nike Kobe 4 Protro Undefeated Phoenix Suns,New with box,US $300.00,,Nike,Athletic,Athletic Sneakers,Nike Kobe Bryant,Orange,Men,neo122401,1175.0,100.0
46,47.Nike SB Blazer Mid Soulland FRI.day 03,New with box,US $325.00,,Nike,Athletic,Athletic Sneakers,,tan,Men,zadehkicks,17708.0,97.7
47,48.Nike React Presto Undercover Mahogany,New with box,US $209.99,,Nike,Athletic,,Nike React,,Men,lightsoutpitt,888.0,99.0
48,49.Nike Kobe 4 Protro Undefeated Milwaukee Bucks,New with box,US $350.00,,Nike x Undefeated,Athletic,Basketball Shoes,Nike Kobe Bryant,FIR/MULTI-COLOR,Men,dp4954,91.0,100.0
49,50.Nike LeBron 16 Watch the Throne,Pre-owned,US $249.99,,nike,Athletic,,LeBron James,black,Men,kicksncuts305,262.0,100.0
50,51.Nike React Presto Undercover Black,New with box,US $159.99,,Nike,Athletic,,Nike React,Black,Men,matpru_9766,4.0,100.0
51,52.Nike Air Max 97 Off-White,Pre-owned,US $949.00,,Nike,,Off-white,Off-White,Ivory,,igotthesneakers,73.0,100.0
52,53.Nike Kobe 4 Protro Undefeated Los Angeles Lakers,New with box,"US $1,211.74",,Nike,Athletic,Basketball,,Purple/University Gold-White,Men,bakk-enterprise,879.0,98.9
53,54.Nike Air Max 1 Susan Missing Link,New with box,US $420.00,,Nike,Athletic,Athletic Sneakers,,tan,Men,zadehkicks,17708.0,97.7
54,55.Nike LeBron 16 Low Atmos Safari,New with box,US $299.00,,Nike,,Basketball Shoes,Nike LeBron James,Kumquat/Black,,soles888,2867.0,99.1
55,56.Nike Air Force 1 Low Roc-A-Fella (AF100),New with box,US $349.99,,Nike,Athletic,Athletic Sneakers,"Nike Air, Nike Air Force 1, Nike Internationalist, Nike Lifestyle, Nike Retro Lifestyle",White/White,Men,legitretrokicks,243.0,93.8
56,57.Nike React Element 87 Desert Sand,Pre-owned,US $165.00,,Nike,,,,Beige,,bay37_llc,138.0,98.6
57,58.Nike SB Dunk Low Concepts Purple Lobster,New with box,US $999.00,,Nike,Athletic,,SB,Purple,Men,lxhabits,8071.0,98.5
58,59.Nike Zoom Rookie Galaxy (2019),New with box,US $425.00,,Nike,,Athletic Sneakers,,blue,,zadehkicks,17708.0,97.7
59,60.Nike React Element 87 Sail Light Bone,New with box,US $699.99,,Nike,Athletic,Athletic Sneakers,"NikeLab, Nike Internationalist, Nike Lifestyle, Nike React, Nike Retro Lifestyle, Nike Running / Training Sport",Sail/Light Bone-White-Rush Orange,Men,legitretrokicks,243.0,93.8
60,61.Nike Air Max 1 Atmos Elephant (2017),New with defects,US $935.00,,Nike,Athletic,Sneaker,Nike Air,Gray,Men,soledout.jerseycity,1860.0,98.7
61,62.Nike Zoom Fly Off-White,Pre-owned,US $699.99,,Nike,Athletic,Running Shoes,,White,,thecoolshoeshine,51004.0,99.8
62,63.Nike Kyrie 4 Confetti,Pre-owned,US $230.00,,Nike,,Basketball Shoes,,Multicolor,,lxhabits,8071.0,98.5
63,64.Nike Air Max 97 Country Camo (USA),New with box,US $289.00,,Nike,,"Running, Cross Training",Air Max,Green,,eluxive,1845.0,100.0
64,"65.Nike Air More Uptempo Supreme ""Suptempo"" Black",Pre-owned,US $449.00,,Nike,,Basketball Shoes,Nike Supreme X,Black,,lxhabits,8071.0,98.5
65,66.Nike Air Zoom Generation Black White Retro,New with box,US $269.99,,Nike,Athletic,Athletic Sneakers,"NikeLab, Nike Air, Nike Basketball Retro, Nike Basketball Sport, Nike Internationalist, Nike LeBron James, Nike Lifestyle, Nike Retro Lifestyle, Nike Zoom",Black/White-Varsity Crimson,Men,legitretrokicks,243.0,93.8
66,67.Nike Air Max 1 Master,New with box,US $498.99,,Nike,Athletic,,,Black,,poofyo101jumpmansneakers,17517.0,100.0
67,68.Nike Air Presto Acronym Volt,New with box,US $239.90,,Nike,Athletic,Athletic Sneakers,Nike Air,Yellow,Men,sneakzilla,8265.0,99.8
68,69.Nike Air Foamposite One Supreme Black,New with box,"US $1,999.99",,Nike,,Athletic Sneakers,,Black,,kaili_001,2326.0,100.0
69,70.Nike Air VaporMax Clot Bright Crimson,Pre-owned,US $535.00,,Nike,,Running Shoes,Nike Air,Red,,lxhabits,8071.0,98.5
70,71.Nike Kobe 6 Grinch,Pre-owned,"US $1,299.99",,Nike,Athletic,Basketball Shoes,Nike Kobe Bryant,Green,Men,d1n0d1ner0,687.0,100.0
71,72.Nike Air Max 97 Country Camo (UK),New with box,US $270.00,,Nike,,Athletic Sneakers,,,,sakibomb523,984.0,100.0
72,73.Nike Air Force 1 Low 3x1 Denim Raw Indigo,New without box,US $198.82,,Nike,Athletic,Basketball Shoes,"Nike AF1, Nike Air Force 1",Blue,Men,flagshipwholesales,554.0,99.4
73,74.Nike Air Max 97 Cristiano Ronaldo Portugal Patchwork,New with box,US $459.99,,Nike,,Athletic Sneakers,Air Max 97,Red,,solejukeninc,340.0,100.0
74,"75.Nike Air More Uptempo Supreme ""Suptempo"" Gold",Pre-owned,US $550.00,,Nike,,Athletic Sneakers,Nike Air,Gold,,lxhabits,8071.0,98.5
75,76.Nike LeBron 8 South Beach (Pre-Heat),Pre-owned,US $549.99,,Nike,Athletic,Basketball Shoes,Nike Air,Black,Men,dolowarrenx3,488.0,
76,77.Nike Air Foamposite One Supreme Red,Pre-owned,US $950.00,,Nike,,Basketball Shoes,,Red,,dreamkicks4u,60.0,100.0
77,78.Nike Air VaporMax Oreo,Pre-owned,US $199.99,,Nike,Athletic,,Nike Air VaporMax Flyknit,Grey,Men,nycsupply,143.0,100.0
78,79.Nike Air Max 1 Anniversary Red (2017),Pre-owned,US $388.99,,Nike,Athletic,Running Shoes,,White,,thecoolshoeshine,51004.0,99.8
79,80.Nike Air Max 97 Country Camo (Italy),New with box,US $600.00,,Nike,Athletic,,Nike Air,Camo,Men,soulman1203,146.0,100.0
80,81.Nike Air Presto Off-White,Pre-owned,"US $2,000.00",,NIKE,,"Running, Cross Training",Air Presto,BLACK/BLACK-MUSLIN,,lxhabits,8071.0,98.5
81,82.Nike Dunk SB Low Blue Lobster,New with box,"US $1,769.00",,Nike Sb,Athletic,,SB,Blue,Men,danny_dunks,5.0,100.0
82,83.Nike Air Yeezy 2 Pure Platinum,New with box,"US $7,499.99",,Nike,,Athletic Sneakers,,Wolf Grey/Pure Platinum,,newyorkcompany,1666.0,100.0
83,84.Nike Air Yeezy 2 Solar Red,New with box,"US $6,500.00",,Nike,,,,Beige,,lockerroomkicks,1098.0,100.0
84,85.Nike LeBron 8 V/2 Low Solar Red,Pre-owned,US $200.00,,Nike,Athletic,,LeBron James,Solar Red,Men,shopvaruna,13.0,
85,86.Nike MAG Back to the Future (2011),New with box,"US $15,994.44",,NIKE,,Athletic Sneakers,,JETSAM WHITE PURPLE BLUE,,sole_maison,718.0,100.0
86,87.Nike Flyknit Trainer Multi-Color,Pre-owned,US $329.99,,Nike,,Golf Shoes,,Multi-Color,,1$,1281.0,100.0
87,88.Nike Air Yeezy 1 Zen Grey,New with box,"US $4,999.99",,Nike,,Athletic Sneakers,,Gray,,nystatenisland,642.0,100.0
88,89.Nike Flyknit Lunar1+ Supreme Black,New with box,US $999.99,,Nike,,,,BLACK/BLACK-DARK GREY,,croatianstyle,22279.0,99.4
89,90.Nike Dunk SB Low Supreme Black Cement (2002),Pre-owned,"US $3,750.00",,Nike,Athletic,,SB,Black,Men,bunnysam23,55.0,
90,91.Nike Air Zoom Generation Wheat (All-Star),New with box,US $329.99,,Nike,,Basketball Shoes,,Brown,,thecoolshoeshine,51004.0,99.8
91,92.Nike SB Blazer Supreme Black (2006),Pre-owned,US $899.99,,Nike,,,,Black,,rubberandcotton,1421.0,
92,93.Nike Air Max 95 Stash,Pre-owned,US $333.99,,Nike,,Running Shoes,,Blue,,thecoolshoeshine,51004.0,99.8
93,94.Nike Air Yeezy 1 Blink,New with box,"US $4,295.00",,Yeezy,Athletic,,Nike Air,Bliack,Men,flightclub.miami,1027.0,100.0
94,95.Nike KD 4 Weatherman,New with box,US $630.00,,Nike,Athletic,,KD 4,Multicolor,Men,theroyboi,24.0,100.0
95,96.Nike MAG Back to the Future (2016),New without box,"US $1,010.00",,Nike,Athletic,,Nike MAG,Gray,Men,sharry5181,271.0,
96,97.Nike Air Max 1 Animal Pack,New with box,US $449.99,,Nike,Athletic,"Running, Cross Training",Nike Air,Multi-Color,Men,legitsupply,9121.0,98.3
